name,description,price,introduction,item_spec
韓國進口 鯊魚寶寶 碰碰狐 拼豆【快速出貨】益智玩具 勞作拼組 DIY 韓國玩具 早教玩具,"碰碰狐創意積木❗寶寶最愛的卡通人物，讓拼組更有趣❗❤️

🥰DIY樂趣多...透過拼組，培養孩子的創造力與想像力👀

【益智玩具】

寶寶最愛的卡通人物，讓拼組更有趣❗

【DIY勞作】

透過拼組，培養孩子的創造力與想像力😮

【益智玩具】

訓練孩子的動手能力、手眼協調和空間概念💫

【親子互動】

爸媽陪孩子一起玩，增進親子感情❤️

【多種造型】

可以拼出各種可愛的碰碰狐造型😙

【安全無毒材質】

讓孩子玩得安心🤗

【培養專注力】

透過拼組，提升孩子的專注力😝

【寓教於樂】

在玩樂中學習，讓孩子愛上學習😗

還在煩惱該怎麼讓孩子在家裡也能玩得開心又學習嗎？快來試試看碰碰狐創意積木吧❗這款積木不僅造型可愛，更能激發孩子的創造力，讓孩子在玩樂中學習💕","['NT$238', 'NT$480']",[],"['黃色', '粉色', '藍色']"
清淨園 頂級芝麻油,,"['NT$168~NT$348', 'NT$168', 'NT$348']","['● 精選上等芝麻籽，經過嚴格挑選和品質控制，以確保每瓶芝麻油都能呈現出最純正、最自然的風味。', '● 芝麻油具有獨特的香氣和風味，能為各種料理增添濃郁的芝麻香，提升菜品的口感和層次感。', '● 適合各類烹飪方式，包括炒菜、燒烤、調味以及拌涼菜等，還可以用來增添美食的風味和口感，或者作為健康的沙拉油。', ' ', '使用建議：', '炒菜和煎炸： 適合用於各種炒菜和煎炸料理，能有效提升菜品的香氣和風味。', '拌涼菜： 可用於拌涼菜或沙拉，增加芝麻香味，讓您的健康餐點更具吸引力。', '調味添加： 可加入湯品、醬料或調味品中，提升整體風味，使菜品更加美味。', ' ', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_6508ff23-5cbc-4c0a-bbba-1578e8e16bce.jpg']","['160ml', '500ml']"
韓國🇰🇷 Nature's Choice 15穀山藥沖泡飲 單包 30g,,"['NT$42', 'NT$69']","['- 韓國知名老品牌', '- 精心挑選15種韓國全穀物研磨製成', '- 含全麥, 糙米, 發芽糙米, 大麥, 白米, 黃豆, 黑芝麻, 高粱, 糯米, 義大利小米, 黑米, 紅豆, 燕麥, 黑豆及薏米', '- 加入山藥令口感更幼滑美味', '- 全天然食材', '- 飽足健康', '- 含豐富纖維，必需脂肪酸，礦物質和維他命', ' ', ' ', '食用方法:', '1.將100毫升溫水倒入杯中', '2.加入30g的健康山藥麥,用湯匙攪拌均勻,或根據自己的喜好添加蜂蜜,精製糖或精緻鹽,', '3.即可享用更美味的15粒健康山藥麥', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98u-lzet89jl1hr21b', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzet89jl2wbid6', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lzet89jl4avy5e', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzet89jkvvhade', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzet89jkxa1q02', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzet89jkyom643', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzet89jl5pgecf']",[]
膳府 SEMPIO 醬醃茗荑葉罐頭,,"['NT$136', 'NT$199']","['● 精選新鮮茗荑葉，嚴格把控原材料來源，保證每一罐都富含天然風味和高品質營養。', '● 採用傳統韓式醬醃技術，結合現代食品加工技術，醬汁味道濃郁、層次分明，充分入味，保持茗荑葉的原汁原味。', '● 醬醃茗荑葉經過特殊調味和醃製，具有獨特的酸甜口感和鮮香味，適合作為小菜、配菜或搭配主食。', '● 含有豐富的纖維素、維生素和礦物質，有助於促進消化、增強免疫力和保持健康。', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_7f4b7941-e241-42b7-9208-81fef0f56e41.jpeg', ' ']",[]
韓國🇰🇷 VITAHALO 南瓜汁隨身飲 單包 90ml,,"['NT$32', 'NT$59']","['【商品介紹】', '使用100%韓國國產當季老南瓜', '添加國產蘋果濃縮液，調和風味更佳', '從南瓜皮到南瓜籽保留完整南瓜營養', '無添加、無加糖、無人工香料色素、防腐劑', '衛生方便的包裝,方便攜帶和隨時飲用', ' ', ' ', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzf2tp78t1isfb', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lzf2zjrko5cu2e', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzf2zjrkpjxa6d', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98u-lzf2tp78x98410', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzf2tp7902d0c9', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzf2tp791gxg94', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzf2tp79737811', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98u-lzf2tp794a2ced', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98o-lzf2tp795omsad', ' ', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzf2zjrkqyhq88', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzf2zjrksd2674']",[]
韓國🇰🇷TIO 水蜜桃冰茶沖泡飲隨身包 單包 18g,,"['NT$16', 'NT$29']","['網友激推韓國必買', '戀戀清香浪漫水蜜桃口味', '韓國最夯冰茶包，輕巧小包裝', '隨身攜帶方便，隨時享受午茶時光', '冷熱沖泡都好喝 戀戀清香浪漫水蜜桃口味', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzf2zjrktrmmc8', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzf2zjrkv6723b', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzf2zjrkwkri05', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98o-lzf2zjrkxzby2d', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzf2zjrkzdwe0b', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzf2zjrl271a60']",[]
韓國🇰🇷 VIVID 0卡葡萄柚氣泡飲料 單包 190ml,,"['NT$38', 'NT$59']","['容量:190ml', 'VIVID 0卡葡萄柚氣泡飲料', '炎炎夏日在家也能自製飲料', '盈不負擔 小朋友也會喜歡的口味!', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzf6hb7hb30413', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzf6hb7hchkk1c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzf6hb7hdw5076', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzf6hb7hi3uc31', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzf6hb7hgp9wa5']",[]
韓國🇰🇷 DONG WON 東遠 甜米露 238ml,,"['NT$32', 'NT$59']","['韓國超人氣暢銷飲料', '冷藏後飲用，更加好喝', ' ', '用韓國產白米煮熟後製成的傳統米露飲料', '呈現出傳統米露的香甜和有嚼感的米香', ' ', '品名：麥芽甜湯(DONGWON)', '重量：238毫升X24入', ' ', '保存方式：置於乾燥陰涼處', '製造商：Dongwon ', '產地：韓國', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98u-lzf6hb7hjiesef', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzf6hb7hkwz821', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzf6hb7hmbjo08']",[]
韓國🇰🇷 OURHOME Baro 即食甜南瓜粥 270g,,"['NT$98', 'NT$109']","['OURHOME Baro即食甜南瓜粥🍚', ' ', '倒出來微波就可以即時食用！', '韓國超人氣的「OURHOME粥品」', '這款南瓜粥吃下去滿口都是酸甜酸甜的味道。，適合晚上肚子餓的時候當消夜吃😋😋😋！！', '有效期限:2025.02.15', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzfoi1rgwf8ef2', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzfoi1rgqsym50', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzfoi1rgs7j26f', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzfoi1rgtm3i65']",[]
韓國🇰🇷 鯊魚寶寶 Baby Shark 旋律自動泡泡棒,,"['NT$480', 'NT$590']","['✨鯊魚寶寶自動泡泡棒✨', ' ', '包裝包裝尺寸：21x37.5x9釐米', '推薦年齡：3歲以上', ' ', '主要特點：', '✨1. 安全認證！', 'Kc 安全認證完成！安心使用，讓您安心使用.', ' ', '✨2.與泡泡一起玩得開心！', '旋律和燈光伴隨著氣泡而出！', ' ', '氣泡按鈕：按下按鈕自動氣泡.', ' ', '旋律＋燈光按鈕：聽旋律，按下跳轉到下一首歌曲.無需按', ' ', '壓，3首歌曲依次播放.', ' ', '氣泡按鈕：按下，氣泡從頭部出來.', ' ', '旋律按鈕：按下和 LED 燈閃閃發光！', ' ', '✨3.歌曲和旋律（英語：Songs and melody）', ' ', '🤩享受包括3首旋律的鯊魚寶寶歌曲！', '鯊魚寶寶 Baby Shark', '鯊魚寶寶在哪裡？', 'S-S-H-A-R -K系列', ' ', '如何使用？', 'Bubble Button：', '按下閃亮的燈光和氣泡.', '旋律＋燈光按鈕：', '按下即可聽到下一首歌曲.', '無需按壓，3首歌曲依次播放.', '電池與維護保養與維護', '電池倉和插入物：', '電池倉位於產品背面.', '取下螺絲，正確插入電池（+/-），並固定蓋子.', '需要3節 aa 1.5V電池（不包括在內）.', '產品資訊', '尺寸：10.9 x 31.4 釐米', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzfoi1rgxtsu9e', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzfoi1rgz8dac3', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lydqcpyfset02a', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lydqcpyg7v1w82', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lydqcpyfseu617']",[]
